item_id,description,description_2,group_description,unit_sale_price (CLP),cost (CLP),storage_cost (CLP),stock,size_m3,cost_per_purchase,frecuencia,estacionalidad,tendencia,intermitente
1255,fancy feast terrine pollo 85 g,latas,alimento,900,691,3,6,0.015,3400,-1.0,1.0,1,1.0
1189,parka t/3 cata pets,ropa,accesorio,18890,15078,46,0,0.004,500,,,0,
1301,zeus arnes fig.a  m  azuldenim,paseo,accesorio,10990,7710,23,0,0.001,500,-1.0,1.0,0,1.0
529,zd midnight adjustable air mesh harness medium,paseo,accesorio,23900,16634,50,0,0.001,500,,,0,
620,feline  i/d  lata x 156gr,latas medicadas,alimento,7720,5800,24,51,0.015,1300,-1.0,1.0,1,1.0
1766,bliss collar small,paseo,accesorio,9900,6451,25,2,0.004,500,-1.0,0.0,1,1.0
366,cordon amarre 8 mm a. doctor,paseo,accesorio,5190,3523,11,1,0.001,500,-1.0,1.0,1,1.0
1509,poo bolsas compostables 60 u,higiene,accesorio,6990,4822,14,11,0.001,500,-1.0,1.0,1,1.0
1105,coastal sublime trailla chevrons/navy,paseo,accesorio,19590,13487,41,1,0.001,600,-1.0,1.0,1,1.0
764,zd army green cat collar,paseo,accesorio,4900,3506,10,0,0.001,500,-1.0,1.0,0,1.0
394,pawise pasto sanitario 43 x 67 cm,higiene,accesorio,45990,34877,96,0,0.001,1200,-1.0,1.0,0,1.0
1054,zeedog prisma h-harness extra small,paseo,accesorio,11860,8667,25,1,0.001,500,-1.0,1.0,1,1.0
946,collar gatos,paseo,accesorio,2990,2174,6,0,0.001,500,,,0,
1498,bravery salmon mini adult small breeds 2 kg,adultos,alimento,18990,12833,57,2,0.015,1600,-1.0,1.0,1,1.0
1107,dispensador agua maya m 700 ,comederos,accesorio,8490,6408,18,3,0.001,500,-1.0,1.0,1,1.0
1608,coastal maslow  plato paw rosado 1596 ml,paseo,accesorio,15990,11143,34,0,0.001,500,-1.0,1.0,0,1.0
111,zeedog atlanta adjustable air mesh harness small,paseo,accesorio,19300,12954,47,0,0.004,500,,,0,
582,jaula transporte pratiko metal 2,hogar-transporte,accesorio,29310,20741,61,3,0.001,800,-1.0,1.0,1,1.0
1033,zeedog prisma leash large,paseo,accesorio,16840,11371,35,0,0.001,500,-1.0,0.0,0,1.0
1340,dogit alfombrilla educadora  x-large 20u,higiene,accesorio,16990,13409,36,0,0.001,500,-1.0,1.0,0,1.0
298,afp fetch dog n treat,juguetes,accesorio,34930,25804,74,0,0.001,800,,,0,
879,dog arnés negro,paseo,accesorio,21990,14294,46,19,0.001,500,-1.0,1.0,1,1.0
1572,parka t/0 cata pets,ropa,accesorio,15890,11578,39,0,0.004,500,-1.0,1.0,0,1.0
1206,dogit cuerda anudada sabor menta 26 cm,juguetes,accesorio,6790,4456,17,1,0.004,500,-1.0,1.0,1,1.0
887,puzzle soft-walk harness medium,paseo,accesorio,18899,13644,39,0,0.001,600,-1.0,1.0,0,1.0
1273,zeedog mahalo h-harness small,paseo,accesorio,13850,10343,29,1,0.001,500,-1.0,1.0,1,1.0
1170,zd skull 2.0 harness + leash set,paseo,accesorio,11900,7965,25,2,0.001,500,-1.0,0.0,1,1.0
297,dogit alfombrilla educadora  medium 30un,higiene,accesorio,13490,10330,33,2,0.004,1250,-1.0,0.0,1,1.0
1713,bravecto 1.000 mg perro 20 a 40 kg,ant. ext.,medicamento,49650,33507,92,0,0.0002,800,-1.0,1.0,0,1.0
1085,pro plan sensitive cat 3kg ar,adultos,alimento,36370,23966,109,3,0.015,2950,-1.0,1.0,1,1.0
544,coastal maslow plato cobre martillado 2188 ml,paseo,accesorio,15990,11328,34,1,0.001,550,-1.0,1.0,1,1.0
1620,collar isabelino 15 cm nº(3),higiene,medicamento,6450,5043,12,19,0.0002,500,-1.0,1.0,1,1.0
65,ps dental solutions starter kit,higiene,accesorio,10990,8034,27,3,0.004,1100,-1.0,0.0,1,1.0
1204,coastal sublime collar cubes s/m,paseo,accesorio,12490,9282,30,3,0.004,1350,,,1,
462,pawise bola para golosinas gato,juguetes,accesorio,3990,2690,9,1,0.001,500,,,1,
1319,zd cali dos air-leash,paseo,accesorio,37900,29637,79,1,0.001,1200,-1.0,0.0,1,1.0
1714,zeedog phantom h-harness medium,paseo,accesorio,16840,12620,35,0,0.001,500,-1.0,1.0,0,1.0
239,honey collar small,paseo,accesorio,9899,7663,21,2,0.001,500,-1.0,1.0,1,1.0
188,zd candy adj. air mesh harness large,paseo,accesorio,34030,26228,71,1,0.001,850,-1.0,1.0,1,1.0
1333,zd army green leash small,paseo,accesorio,13900,10381,29,2,0.001,500,,,1,
29,manitol 500ml,medicamentos,medicamento,7440,4906,14,2,0.0002,500,-1.0,1.0,1,1.0
1289,jaula refugio peq. animales grande,hogar-transporte,accesorio,77330,59684,188,1,0.004,2550,-1.0,1.0,1,1.0
759,zd neon coral collar extra small,paseo,accesorio,7900,5702,17,0,0.001,500,-1.0,0.0,0,1.0
1160,viruta pino  800 gr,higiene,accesorio,1490,1004,3,5,0.004,500,-1.0,1.0,1,1.0
1545,pink led h-harness medium,paseo,accesorio,16900,12391,36,1,0.001,500,,,1,
398,coastal maslow  plato pup azul 384 ml,paseo,accesorio,6990,4729,17,1,0.004,500,,,1,
836,big bone aluminum purple (my family),placas identificacion,accesorio,7130,5120,15,1,0.001,500,,,1,
109,zd smash leash large,paseo,accesorio,16900,12456,36,2,0.001,600,,,1,
637,pro plan perro reduce calor. optilife 15 kilo,adultos,alimento,48900,32863,147,0,0.015,1900,-1.0,1.0,0,1.0
1259,coastal sublime collar pink s/m,paseo,accesorio,12490,9538,30,2,0.004,1350,-1.0,1.0,1,1.0
1161,zeedog phantom h-harness small,paseo,accesorio,13850,10108,29,0,0.001,500,,,0,
932,zeedog ella leash small,paseo,accesorio,13900,10234,34,1,0.004,500,-1.0,1.0,1,1.0
705,ursovet 60 ml,digestivo,medicamento,9590,7620,18,3,0.0002,500,-1.0,1.0,1,1.0
617,heno de pasto timothy 425gr,alimento exoticos,accesorio,9260,7238,19,1,0.001,500,-1.0,1.0,1,1.0
799,jaula aves med. diseños y colores,hogar-transporte,accesorio,24000,17179,59,0,0.004,500,,,0,
432,nutram total grain-free chicken & turkey dog food 2kg,adultos,alimento,27750,19202,83,1,0.015,1750,-1.0,1.0,1,1.0
1110,coastal lazer brite collar skulls s/m,paseo,accesorio,8990,7034,19,2,0.001,500,-1.0,1.0,1,1.0
1142,afp chill out pista hielo,juguetes,accesorio,24790,16329,52,1,0.001,500,-1.0,1.0,1,1.0
619,harvest stacks timothy/carrot 1kg,alfalfas,accesorio,21700,14694,45,3,0.001,500,-1.0,0.0,1,1.0
706,coastal style collar brown paw xs,paseo,accesorio,6990,5561,17,1,0.004,650,-1.0,1.0,1,1.0
425,royal canin feline urinary care 1.5 kg,medicados,alimento,21570,15612,65,4,0.015,4500,-1.0,1.0,1,1.0
591,zd midnight h-harness medium,paseo,accesorio,16900,11395,42,2,0.004,1050,-1.0,0.0,1,1.0
495,alimento pelletizado nature para cobayo 700 gr,alimento exoticos,accesorio,9050,6359,19,0,0.001,500,,,0,
1338,"zeus collar ajustable ""l"" grafito",paseo,accesorio,6390,4882,13,0,0.001,500,-1.0,1.0,0,1.0
727,cracul x20 comp. perros,comportamiento,medicamento,8700,6720,16,1,0.0002,500,-1.0,1.0,1,1.0
196,bayticol collar 35cm,ant. ext.,medicamento,15990,12354,30,2,0.0002,500,-1.0,1.0,1,1.0
344,hartz jfc bizzy balls cat toy,juguetes,accesorio,3590,2417,9,0,0.004,500,,,0,
135,zd smash collar medium,paseo,accesorio,10900,7856,22,0,0.001,500,-1.0,1.0,0,1.0
218,zeedog phantom leash large,paseo,accesorio,16900,13062,42,0,0.004,1300,-1.0,1.0,0,1.0
270,advocate 1 x 0.4 ml,ant. ext.,medicamento,16460,12801,31,5,0.0002,500,-1.0,1.0,1,1.0
433,naxpet 10 mg.x 10 comp.,analgesico,medicamento,7800,5190,15,19,0.0002,500,-1.0,0.0,1,1.0
1190,pawise bolsas repuesto 3x20 colores,higiene,accesorio,5970,4113,14,1,0.004,950,-1.0,0.0,1,1.0
1751,zeus arnes fig. a  s  grafito,paseo,accesorio,7990,5683,17,1,0.001,500,-1.0,1.0,1,1.0
1005,bravery chicken adult large/medium breeds 12 kg,adultos,alimento,54990,38403,165,0,0.015,650,-1.0,0.0,0,1.0
237,coastal lazer brite collar fish bones,paseo,accesorio,9490,6719,20,2,0.001,500,-1.0,1.0,1,1.0
818,dispensador alimento maya / m (700 gr.),comederos,accesorio,8270,5758,21,1,0.004,750,-1.0,1.0,1,1.0
943,bravery chicken kitten 2 kg,cachorros,alimento,17990,12936,55,6,0.015,3850,-1.0,1.0,1,1.0
450,zeedog gotham leash large,paseo,accesorio,16840,11974,35,0,0.001,500,-1.0,1.0,0,1.0
707,rimadyl 100 mg x 14 tabletas ,analgesico,medicamento,23090,16225,43,0,0.0002,500,-1.0,1.0,0,1.0
598,ratones de piel 24 por caja tipo,juguetes,accesorio,1190,922,3,6,0.001,500,-1.0,1.0,1,1.0
1592,le salon essentials peine combinado smal,grooming,accesorio,25390,18395,62,1,0.004,900,0.0,0.0,1,1.0
1550,afp pups cuerda suave mini,juguetes,accesorio,6790,4887,17,0,0.004,500,-1.0,0.0,0,1.0
1619,pawise hollow elefante,juguetes,accesorio,6990,5330,14,0,0.001,500,-1.0,1.0,0,1.0
422,cream labrador  (my family),placas identificacion,accesorio,17560,13206,37,0,0.001,500,-1.0,1.0,0,1.0
1237,pro plan puppy medium breed 1kg ar,cachorros,alimento,10880,8428,32,1,0.015,4550,-1.0,1.0,1,1.0
1727,planet dog luna,juguetes,accesorio,16990,11980,36,0,0.001,500,,,0,
254,coastal style collar teal purple diamonds m,paseo,accesorio,9290,7146,20,0,0.001,500,-1.0,1.0,0,1.0
1310,zeedog skull h-harness extra small,paseo,accesorio,10200,7281,25,0,0.004,1050,-1.0,0.0,0,1.0
1574,drontal plus x 2 comprimidos saborizados,ant. ext.,medicamento,10590,7691,20,19,0.0002,500,-1.0,1.0,1,1.0
307,zeedog fatboy ruff leash small,paseo,accesorio,21830,16088,46,0,0.001,500,-1.0,0.0,0,1.0
70,shampoo flt,antialergico,medicamento,12400,8560,23,0,0.0002,500,-1.0,1.0,0,1.0
1580,dogit alfombrilla educadora  medium 50u,higiene,accesorio,20590,15248,43,3,0.001,500,-1.0,0.0,1,1.0
324,dogit repuesto filtro carbon (91400),bebederos,accesorio,10510,8320,26,0,0.004,1400,-1.0,0.0,0,1.0
1225,bravery light iberian pork mini adult small breeds 7 kg,weight control,alimento,43320,28170,131,0,0.015,4350,-1.0,1.0,0,1.0
611,corner deterrent spring,enriquecimiento ambiental,accesorio,7690,5830,19,1,0.004,1250,-1.0,1.0,1,1.0
570,arnes de pasaeo chico g.a,paseo,accesorio,7190,5123,15,3,0.001,500,,,1,
1036,zd ella adjustable air mesh harness medium,paseo,accesorio,25890,19034,54,0,0.001,500,-1.0,0.0,0,1.0
561,wanpy soft duck jerky stripos,snack,alimento,4990,3774,16,15,0.015,600,-1.0,0.0,1,1.0
1322,zeus nosh hueso duro sabor tocino s,juguetes,accesorio,6490,4737,13,1,0.001,500,-1.0,1.0,1,1.0
1347,bravery salmon adult large/medium breed 4 kg,adultos,alimento,24990,18101,75,0,0.015,2500,-1.0,1.0,0,1.0
1168,eukanuba puppy small breed 6.8 kg,cachorros,alimento,52670,36414,159,2,0.015,500,-1.0,1.0,1,1.0
631,afp modern cat flash,juguetes,accesorio,4690,3223,10,1,0.001,500,-1.0,1.0,1,1.0
212,royal canin renal canine 1.5 kg,adultos,alimento,17780,12589,54,0,0.015,1150,-1.0,1.0,0,1.0
23,coastal lazer brite collar galaxy xs,paseo,accesorio,6990,4645,14,2,0.001,500,,,1,
289,coastal k9 explorer arnes acolchado guinda s,paseo,accesorio,25990,19678,54,0,0.001,500,-1.0,1.0,0,1.0
63,dreamwell cama rectangular woof azul,hogar-transporte,accesorio,39990,30302,98,1,0.004,1650,-1.0,1.0,1,1.0
869,"gumi juguete hilo dental seda ""mini""",juguetes,accesorio,8990,6828,22,0,0.004,900,-1.0,1.0,0,1.0
534,belcando búfalo de agua 400 gr,humedo,alimento,5590,4294,18,0,0.015,650,-1.0,1.0,0,1.0
1675,royal canin active 7+ 1.5kg,senior,alimento,16510,12352,50,3,0.015,500,-1.0,1.0,1,1.0
1547,zd smash h-harness medium,paseo,accesorio,16900,13204,36,0,0.001,500,-1.0,1.0,0,1.0
1441,senses desing circuito rapido luminoso,juguetes,accesorio,19190,14636,41,2,0.001,500,-1.0,0.0,1,1.0
1089,zd midnight leash small,paseo,accesorio,13900,10825,34,0,0.004,750,-1.0,1.0,0,1.0
1330,zeedog ella h-harness large,paseo,accesorio,19830,13336,42,1,0.001,500,-1.0,0.0,1,1.0
916,eukanuba adulto medium 13.6 kg,adultos,alimento,67930,48313,205,2,0.015,3950,-1.0,1.0,1,1.0
471,canine i/d x  lata x 370 gms,latas medicadas,alimento,9220,6289,27,11,0.015,2700,,,1,
1178,revolution perro 20-40 kg,ant. ext.,medicamento,28990,21310,54,0,0.0002,550,-1.0,0.0,0,1.0
1389,seresto collar p/p hasta 8 kilos,ant. ext.,medicamento,47990,32528,89,0,0.0002,500,-1.0,1.0,0,1.0
1362,nexgard x 3 tab. 25- 50k,ant. ext.,medicamento,43990,29845,81,0,0.0002,500,,,0,
535,royal canin urinary s/o canine 1.5 kg.,urinario,alimento,15480,11097,47,0,0.015,4550,-1.0,1.0,0,1.0
1073,zeedog chroma leash extra small,paseo,accesorio,10900,7167,26,0,0.004,1050,-1.0,0.0,0,1.0
654,fcn urinary care 7.5kg,medicados,alimento,71240,52741,214,1,0.015,1650,-1.0,1.0,1,1.0
669,collar c/hueso grande a. doctor,paseo,accesorio,2690,1786,5,0,0.001,500,-1.0,1.0,0,1.0
1575,zeedog cyclops,juguetes,accesorio,15060,10915,31,0,0.001,600,-1.0,1.0,0,1.0
115,collar isabelino 25 cm nº(5),higiene,medicamento,8500,5646,16,5,0.0002,500,-1.0,1.0,1,1.0
817,rc mini adulto 8+ 1 kg,adultos,alimento,11830,8860,36,0,0.015,2250,-1.0,1.0,0,1.0
917,biopower,suplemento,medicamento,7090,4925,14,0,0.0002,500,-1.0,1.0,0,1.0
1704,zeedog prisma h-harness large,paseo,accesorio,19830,15573,49,4,0.004,1150,-1.0,0.0,1,1.0
576,zeedog zee.pad grey 30 unid.,higiene,accesorio,17840,12995,37,0,0.001,500,-1.0,1.0,0,1.0
1356,dog a dent cepillo,higiene,medicamento,6470,4690,12,1,0.0002,500,-1.0,1.0,1,1.0
231,zd army green soft-walk harness small,paseo,accesorio,14500,9950,30,1,0.001,500,,,1,
1118,zeedog skull collar medium,paseo,accesorio,10200,7973,21,1,0.001,500,-1.0,0.0,1,1.0
1432,body perro 0 verde,ropa,accesorio,17590,13093,43,0,0.004,500,-1.0,1.0,0,1.0
1355,shampoo regepipel plus 150 ml,higiene,medicamento,10410,7831,20,2,0.0002,500,-1.0,1.0,1,1.0
173,coastal style collar resolve l,paseo,accesorio,10490,7281,22,0,0.001,500,-1.0,1.0,0,1.0
1392,acana classic prairie poultry 2 kg,adultos,alimento,17540,11594,54,0,0.015,1150,,,0,
251,milpro gatito x 2 comp 0.5 - 2 kg,antiparasitario,medicamento,9990,7538,19,5,0.0002,500,-1.0,1.0,1,1.0
914,planet dog snoop naranja,juguetes,accesorio,21990,14883,46,0,0.001,500,-1.0,0.0,0,1.0
1552,afp modern cat tinkly,juguetes,accesorio,7790,5817,17,2,0.001,500,-1.0,0.0,1,1.0
936,zeus collar semifijo  m  rojo,paseo,accesorio,5940,4120,14,0,0.004,700,-1.0,1.0,0,1.0
990,heart i love my dog (my family),placas identificacion,accesorio,17560,13352,37,1,0.001,700,-1.0,0.0,1,1.0
32,royal canin hairball care 1.5 kg,adultos,alimento,21570,16923,65,1,0.015,5050,-1.0,0.0,1,1.0
1661,marina termocalefactor pre-set 100w -22c,enriquecimiento ambiental,accesorio,30990,23976,64,0,0.001,500,-1.0,1.0,0,1.0
1004,royal canin maxi adulto pouch 140 gr,humedo,alimento,1940,1320,6,1,0.015,1950,-1.0,1.0,1,1.0
124,zeedog phantom leash extra small,paseo,accesorio,10860,8254,22,0,0.001,500,,,0,
680,big hair kitty,juguetes,accesorio,5030,4009,11,0,0.001,500,,,0,
163,parka t/4 cata pets,ropa,accesorio,19890,13052,49,2,0.004,1150,-1.0,1.0,1,1.0
1473,baño p/gato prima (cerrado),higiene,accesorio,21190,16357,44,0,0.001,500,-1.0,1.0,0,1.0
628,zd honey ruff leash large,paseo,accesorio,23900,16247,50,1,0.001,750,-1.0,1.0,1,1.0
414,habitrail classic kit,hogar-transporte,accesorio,41990,27840,88,1,0.001,650,-1.0,0.0,1,1.0
49,brit care puppy l&r  12 kg,cachorros,alimento,64990,48214,196,4,0.015,3200,-1.0,1.0,1,1.0
303,zd skull 2.0 leash large,paseo,accesorio,16900,11699,36,0,0.001,500,-1.0,1.0,0,1.0
903,zd army green collar large,paseo,accesorio,12900,9203,31,0,0.004,500,-1.0,0.0,0,1.0
1163,proplan active mind rzmedgrand 3kg,senior,alimento,18490,13307,55,1,0.015,2600,-1.0,0.0,1,1.0
1653,sinpul 30 % x 15 grs.,ant. ext.,medicamento,4360,3012,8,3,0.0002,500,,,1,
1447,lw set arnes y correa peq animales  s ,paseo,accesorio,8990,7144,22,2,0.004,1200,,,1,
342,labyes tears,ocular,medicamento,17990,12548,34,0,0.0002,500,-1.0,1.0,0,1.0
1418,zeedog tarot adjustable air mesh harness small,paseo,accesorio,19300,12646,47,2,0.004,1200,-1.0,1.0,1,1.0
941,nutrafin limpiador biologico 120ml,higiene,accesorio,8990,6145,19,0,0.001,500,-1.0,1.0,0,1.0
781,zd smash h-harness large,paseo,accesorio,19900,14651,42,0,0.001,500,,,0,
1622,toallitas de limpieza vainilla,higiene,accesorio,2960,2182,6,3,0.001,500,-1.0,1.0,1,1.0
670,zd army green leash + harness set,paseo,accesorio,11900,9223,25,1,0.001,500,-1.0,0.0,1,1.0
382,stomorgyl 2 x 10 comp,antibiotico,medicamento,13770,9401,26,1,0.0002,500,-1.0,1.0,1,1.0
429,little jacs snack,snack,alimento,5990,4196,18,13,0.015,1750,-1.0,1.0,1,1.0
754,dermisolona 30 ml suspensión,antialergico,medicamento,14650,11521,27,9,0.0002,500,-1.0,1.0,1,1.0
788,zeedog brain fried,paseo,accesorio,19830,15241,42,0,0.001,500,-1.0,1.0,0,1.0
78,brit care cat grain-free kitten healthy g&d 2 kg,cachorros,alimento,19990,15253,60,14,0.015,2400,-1.0,1.0,1,1.0
59,afp classic justin castor,juguetes,accesorio,16990,11290,36,2,0.001,500,-1.0,0.0,1,1.0
1231,brit care cat grain-free kitten healthy g&d 7 kg,cachorros,alimento,55990,40062,168,1,0.015,5250,-1.0,1.0,1,1.0
1324,eukanuba puppy medium breed 15 kg,cachorros,alimento,78280,51111,236,2,0.015,2900,-1.0,1.0,1,1.0
367,bowl de plástico,comederos,accesorio,3990,2802,9,0,0.001,500,-1.0,0.0,0,1.0
210,zd bordeau cat collar,paseo,accesorio,4900,3379,10,1,0.001,500,-1.0,1.0,1,1.0
69,big heart aluminum red (my family),placas identificacion,accesorio,7130,5108,15,1,0.001,500,-1.0,1.0,1,1.0
162,pawise bozal tela m,paseo,accesorio,5490,3595,12,0,0.001,500,-1.0,0.0,0,1.0
583,pawise mat de enfriamiento l 90x50 cm,enriquecimiento ambiental,accesorio,29990,21141,63,0,0.001,750,-1.0,1.0,0,1.0
962,zd smash cat collar,paseo,accesorio,4900,3198,10,1,0.001,500,-1.0,1.0,1,1.0
1000,afp litte buddy comforting gator,juguetes,accesorio,14590,11347,30,3,0.001,500,-1.0,0.0,1,1.0
693,royal canin medium adulto pouch 140 gr,humedo,alimento,1940,1543,6,6,0.015,1600,,,1,
485,royal can. hepatic canine 10 kg.,medicados,alimento,91930,61209,277,0,0.015,500,,,0,
1353,brit care cat sterilized fillets healthy rabbit 85 g,humedo,alimento,2200,1520,8,5,0.015,550,-1.0,1.0,1,1.0
519,zeus nosh hueso duro sabor carne/queso m,juguetes,accesorio,8990,6485,19,0,0.001,500,,,0,
1571,frontline 100 ml,ant. ext.,medicamento,13990,10484,26,3,0.0002,500,,,1,
1023,daily stuff cama nido estilo garra,camas,accesorio,29990,22187,74,3,0.004,500,,,1,
1595,zeus collar ajustable  s  coral,paseo,accesorio,4190,2967,9,0,0.001,500,-1.0,1.0,0,1.0
1417,brit care cat kitten (crazy) 2 kg,cachorros,alimento,15900,12149,49,2,0.015,1050,-1.0,1.0,1,1.0
701,big heart aluminum pink (my family),placas identificacion,accesorio,7130,5323,15,0,0.001,500,-1.0,1.0,0,1.0
220,l.w. bebedero hermetico 100 ml,bebederos,accesorio,5290,4154,11,5,0.001,500,,,1,
76,coastal sublime collar pink l,paseo,accesorio,16990,11692,42,0,0.004,500,-1.0,1.0,0,1.0
99,pawise meow life varita,juguetes,accesorio,4790,3518,11,4,0.004,1200,-1.0,1.0,1,1.0
420,catit filtro fuente triple accion 2 un,juguetes,accesorio,9390,6285,20,0,0.001,500,,,0,
413,pro plan active mind 7+ med lrg 3kg ar,adultos,alimento,30830,22107,93,3,0.015,3500,-1.0,1.0,1,1.0
618,feliway friends repuesto,comportamiento,medicamento,31630,24349,59,1,0.0002,650,,,1,
527,zd artsy leash large,paseo,accesorio,16900,11131,36,0,0.001,500,-1.0,1.0,0,1.0
849,dispensador alimento maya l / (1500),comederos,accesorio,10230,6781,21,1,0.001,500,-1.0,1.0,1,1.0
306,royal can early cardiac canine 2.0 kg.,medicados,alimento,26130,20105,78,1,0.015,3250,-1.0,0.0,1,1.0
1055,red big circle paw (my family),placas identificacion,accesorio,12300,8639,26,0,0.001,500,-1.0,1.0,0,1.0
862,zd midnight leash extra small,paseo,accesorio,10900,8395,26,1,0.004,500,-1.0,1.0,1,1.0
30,casa igloo medium,hogar-transporte,accesorio,5790,4590,12,2,0.001,500,,,1,
331,pro plan kitten 1kg ar,cachorros,alimento,13440,9964,41,6,0.015,1100,-1.0,0.0,1,1.0
1557,brit care cat kitten tuna fillets 70grs,humedo,alimento,1900,1364,6,0,0.015,1900,,,0,
1182,comedero interactivo gato planta blanco y verde,juguetes,accesorio,18180,13855,45,0,0.004,1400,-1.0,0.0,0,1.0
1517,timothy bungalow m,enriquecimiento ambiental,accesorio,37900,24774,79,0,0.001,950,-1.0,1.0,0,1.0
552,clever pet bowl acero inox colores,comederos,accesorio,6980,4614,14,0,0.001,500,-1.0,1.0,0,1.0
1113,exo t.ampolleta heat glo infrarroja 75w,enriquecimiento ambiental,accesorio,13490,9134,28,0,0.001,500,-1.0,1.0,0,1.0
427,zeus collar ajustable  xl  coral,paseo,accesorio,7790,5450,17,0,0.001,500,-1.0,1.0,0,1.0
1582,salvaje adulto con pollo 15 kg,adultos,alimento,31990,25189,96,205,0.015,4950,-1.0,1.0,1,1.0
1453,dogit cable enganche 4.5m mas estaca,paseo,accesorio,20990,14215,51,0,0.004,500,-1.0,0.0,0,1.0
1470,afp doggies pantufla mono,juguetes,accesorio,11690,8959,25,1,0.001,500,,,1,
351,white persian  (my family),placas identificacion,accesorio,17560,13209,43,1,0.004,1050,-1.0,1.0,1,1.0
1476,bravery chicken adult cat 7 kg,adultos,alimento,44990,32439,136,0,0.015,4850,-1.0,1.0,0,1.0
44,pichichi 20 ml. (edu. sanit/perros),higiene,medicamento,3190,2408,6,1,0.0002,500,-1.0,1.0,1,1.0
1258,light blue big circle bone (my family),placas identificacion,accesorio,15490,11180,38,2,0.004,950,-1.0,1.0,1,1.0
733,zd pacco collar small,paseo,accesorio,9900,7625,25,0,0.004,1050,-1.0,1.0,0,1.0
1029,brit care senior l&r 12 kg,senior,alimento,53990,39919,164,1,0.015,2200,-1.0,1.0,1,1.0
361,zeedog neopro green leash large,paseo,accesorio,19400,15227,41,1,0.001,700,-1.0,1.0,1,1.0
557,coastal embellished collar flower pink,paseo,accesorio,9590,7198,20,2,0.001,500,-1.0,0.0,1,1.0
415,bravery salmon mini puppy small breed 2 kg,cachorros,alimento,18990,13879,57,7,0.015,1400,,,1,
771,zd fatboy ruff leash large,paseo,accesorio,23900,18148,50,0,0.001,500,-1.0,1.0,0,1.0
1732,mother and babycat 1.5 kg,cachorros,alimento,20330,13953,62,2,0.015,3400,-1.0,1.0,1,1.0
185,pro plan feline veterinary diets nf early,adultos,alimento,26090,18383,78,0,0.015,500,-1.0,1.0,0,1.0
1507,bichon frise (my family),placas identificacion,accesorio,17560,12413,43,0,0.004,1100,-1.0,1.0,0,1.0
1449,plato antideslizante luna / l,comederos,accesorio,6330,4183,15,3,0.004,500,-1.0,1.0,1,1.0
497,ampolleta repti glo 5.0 tropical13 w,enriquecimiento ambiental,accesorio,26990,19642,57,0,0.001,650,-1.0,0.0,0,1.0
679,vestido playero t-2,ropa,accesorio,5550,4326,12,1,0.001,500,-1.0,0.0,1,1.0
1779,eukanuba premium performance 18 kg ,adultos,alimento,97320,72348,293,0,0.015,2050,-1.0,1.0,0,1.0
1274,zeedog roy,juguetes,accesorio,10900,8068,22,1,0.001,500,-1.0,1.0,1,1.0
855,ultimate blue collar extra small,paseo,accesorio,7900,5978,19,1,0.004,500,-1.0,1.0,1,1.0
1467,zeedog honey adjustable air mesh harness small,paseo,accesorio,19300,14805,41,1,0.001,500,-1.0,1.0,1,1.0
1510,bravery salmon adult cat 7 kg,adultos,alimento,47990,37657,145,1,0.015,1050,-1.0,1.0,1,1.0
